"Name","Team","Ht","GP","MINS","OPPM","DPPM","PPM","PTS","ORB","DRB","AST","STL","BLK","TOV","PF","RIMA","RIM.","MIDA","MID.","TPA","TP.","FTA","FT.","TS.","eFG."
"Keeyan Itejere","Northern Ky.","6-9",27,686.217,0,1,1,10.9,2.8,3.9,0.7,1.3,2.2,1.9,4.2,5.6,0.718,1.2,0.478,0,0,3.2,0.547,0.658,0.677
"Alvaro Folgueiras","Robert Morris","6-9",28,491.803,-0.1,1.1,1,9.9,2.8,5.6,2.6,0.9,1.2,1.9,3.7,3.2,0.689,1.1,0.333,4.3,0.295,1.3,0.722,0.536,0.521
"Blake Peters","Princeton","6-1",27,779.117,0.9,0.1,1,10.2,0.5,2.9,1.1,1.3,0.2,0.7,2.5,0.4,0.667,0.2,0.2,8.9,0.319,1.3,0.778,0.5,0.48
"Myron Amey Jr.","San Jose St.","6-2",30,978.415,2.7,-1.7,1,17.3,0.5,5,3.4,1.7,0.3,2.1,1.8,5.3,0.51,2.3,0.391,6.6,0.376,3.3,0.791,0.547,0.515
"Nick Fiorillo","Vermont","6-7",27,598.635,1.1,-0.1,1,14.1,1.2,4,3.4,0.7,1,2.5,3.8,5.6,0.565,0.5,0.333,4.6,0.333,3.9,0.734,0.562,0.526
"Ayinde Hikim","UMass Lowell","5-11",28,1042.901,0.9,0.1,1,12.9,0.9,3.1,4.4,1.8,0.2,3.3,2.3,5.3,0.44,4.2,0.398,2.7,0.214,4,0.77,0.455,0.4
"Kacper Klaczek","Saint Joseph's","6-8",32,483.603,-1.6,2.6,1,9.7,2.3,5.2,2.4,0.7,1.6,2.1,4.1,5.2,0.563,0.5,0.143,3.3,0.239,2.6,0.5,0.471,0.464
"Javon Cooley","Marist","6-5",30,742.652,0.2,0.8,1,11.1,1.5,4.8,0.8,1.2,0.8,1.3,2.3,2.5,0.66,0.4,0.556,3.7,0.493,2.1,0.837,0.722,0.698
"Drake Dobbs","St. Thomas (MN)","6-2",30,932.25,1.7,-0.7,1,11.7,0.4,2.1,3,0.9,0.2,1,2,3.2,0.671,0.6,0.333,4.5,0.321,3.2,0.812,0.592,0.544
"Samson Johnson","UConn","6-10",36,594,-0.2,1.2,1,12.3,2.5,4.3,1.1,1.1,2.1,1.8,6.9,7.3,0.746,0.5,0.5,0.1,0,2.2,0.429,0.686,0.718
"Shane Dezonie","Temple","6-5",29,565.098,0.6,0.4,1,14,2.7,4.4,1.7,1.2,0.4,2.4,3.4,4.5,0.493,1.7,0.429,4.7,0.373,4,0.703,0.545,0.511
"Golden Dike","Loyola Maryland","6-10",30,653.251,0.6,0.4,1,12.8,3.6,7.6,4,1,0.6,2.6,3.4,9.1,0.577,0.6,0.182,0.1,0,6.4,0.325,0.5,0.549
"Leland Walker","Eastern Ky.","6-1",27,773.166,3,-2,1,18.6,0.7,2.4,4.2,1,0.3,2.9,2.7,3.3,0.613,7.2,0.386,4.3,0.364,5.3,0.836,0.54,0.482
"Patrick McCaffery","Iowa","6-9",31,709.483,2,-1,1,12.5,0.2,3.7,1.7,0.6,0.4,1.2,1.2,3.4,0.627,2.8,0.377,3.5,0.312,3.6,0.787,0.548,0.498
"Kory Mincy","Presbyterian","6-1",29,444.867,1.5,-0.5,1,13.4,0.6,2.4,2.7,1.3,0.1,1.6,3.8,0.9,0.833,5,0.438,5.3,0.368,2.3,0.667,0.54,0.524
"Reggie Bass","Kent St.","6-3",27,515.781,2,-1,1,14.7,0.7,3,2.8,1.1,0,2.4,2.2,3.1,0.489,1.1,0.294,6,0.352,5.6,0.835,0.571,0.49
"Sean Conway","St. John's (NY)","6-4",25,198.463,-0.9,1.9,1,8.4,2.4,4.1,2.2,1.5,0.5,1.4,4.1,1.2,0.286,2.4,0.5,4.5,0.308,1.5,0.778,0.478,0.447
"Otega Oweh","Oklahoma","6-5",32,789.202,0,1,1,15.9,1.3,4,1.4,2.1,0.6,2.5,3.3,6.9,0.604,2.8,0.312,2.3,0.377,4.9,0.643,0.553,0.529
"Sam Alexis","Chattanooga","6-9",30,804.001,0.7,0.3,1,14.4,3.5,8.1,2.2,0.5,2.7,2.5,2.7,7,0.671,2.2,0.4,2.1,0.25,3.6,0.476,0.554,0.562
"Tevin Smith","Cleveland St.","6-4",32,763.233,1.3,-0.3,1,11.7,2.2,3.6,1.3,1.3,1.1,1.5,3.5,3.9,0.547,2,0.378,2.3,0.442,4.1,0.689,0.574,0.538
"Thierno Sylla","UCF","6-11",32,478.767,-0.6,1.6,1,9.7,2.8,6.1,0.6,0.7,1,1.5,2.7,3.6,0.54,1.1,0.267,4.3,0.279,2.5,0.657,0.477,0.448
"Seyi Reiley","Seattle U","6-6",35,691.251,-1.4,2.4,1,8.7,3.5,6,1.3,1,0.5,2.1,4.8,4.5,0.602,0.3,0.167,0.1,0,5.2,0.608,0.593,0.568
"Joshua O'Garro","Texas St.","6-6",28,383.334,0.1,0.9,1,10.7,2,5.7,1.1,1.4,0.8,1.1,3.1,5.8,0.646,0.8,0.444,1.5,0.176,3.1,0.529,0.555,0.555
