"Name","Class","Team","Conference","Height","Pos","GP","MP","OPPM","DPPM","PPM","WAWO","DWAWO","PTS","ORB","DRB","AST","STL","BLK","TOV","PF","RIMA","RIM%","MIDA","MID%","3PA","3P%","FTA","FT%","TS%"
"Jayden Brown","Fr.","Bryant","America East","5-11","G",9,12,-5,-1.1,-6.1,0,0,9.4,1.9,1.8,2.2,0,0,0,2.2,1.9,0,2.3,0,4.2,50.1,3.4,100,48
"Matthew Mortenson","So.","Loyola Chicago","Atlantic 10","6-4","F",8,6,-5.6,-0.5,-6.1,0,0,0,15.9,4.8,0,0,0,6.3,0,0,0,0,0,0,0,0,0,0
"Jordan Snell","Jr.","NC State","ACC","6-2","G",4,2,-5.5,-0.6,-6.1,0,0,10.5,0,5.6,0,0,0,6.4,0,5.3,98.4,0,0,0,0,0,0,98.4
"Jackson Fazande","Fr.","UTSA","AAC","6-3","F",1,2,-5.1,-1,-6.1,0,0,0,19.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luke Kinkade","Fr.","William & Mary","CAA","6-1","G",6,24,-4.5,-1.6,-6.1,0,0,8.4,2.4,0,1.1,0,0,1.2,0,4.7,1.5,0,0,6.7,20.6,4.1,100,31.7
"George Washington III","So.","Richmond","Atlantic 10","6-2","G",7,34,-5,-1.1,-6.1,0,0,10.6,0,1.1,2.1,2.3,0,3,5.3,1.1,8.3,3.3,33.8,5,40.5,2,100,51.3
"Mykolaus Ivanauskas","Fr.","Mercyhurst","NEC","6-8","F",23,356,-4.3,-1.8,-6.1,-0.1,0,9.9,2.7,5.5,0.5,0.6,1.1,2.2,3.8,5.4,51.4,1.7,37.8,1.1,35.4,2.7,67.9,52.5
"Samuel Yurasek","So.","Loyola Chicago","Atlantic 10","6-3","G",2,1,-5.6,-0.5,-6.1,0,0,0,0,30.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KJ Keatts","Jr.","NC State","ACC","5-10","G",4,3,-5.5,-0.6,-6.1,0,0,10.8,0,0,0,0,0,5.7,6.6,5.7,97.7,0,0,5.4,0,0,0,49
"Ryan Elzy","Sr.","Southeastern La.","Southland","6-2","G",14,44,-5.6,-0.5,-6.1,0,0,3.7,2.8,2.3,0,1.5,0,0.9,5.8,2.3,65.2,1.8,0,0.8,0,1.6,50,33
"Khaled Khaled","So.","UIC","MVC","6-3","G",7,7,-5.1,-1,-6.1,0,0,14.8,0,0,11.2,0,0,4.1,7.4,11.5,64.2,3.2,0.4,0,0,0,0,50.3
"Nigle Cook","So.","Wyoming","MWC","6-6","G",5,17,-5.6,-0.5,-6.1,0,0,4.2,0,2.2,2.5,2.4,1.9,0,2,2.1,100,0,0,8.4,0,0,0,20
"Kareem Thomas","Fr.","Dartmouth","Ivy League","6-5","G",12,31,-5.7,-0.4,-6.1,0,0,10.8,2,2.8,0.7,0,0,1,3.9,1.8,48.5,3.8,25.1,0,0,9,80,56.8
"Tim Oboh","Fr.","Buffalo","MAC","6-11","C",27,335,-5.4,-0.7,-6.1,-0.1,0.2,11.1,1.5,4.8,0.5,0.9,1,2.8,4.6,6.7,54.1,0.5,0.1,1.2,25.5,4.3,68.3,53.9
"Pearse McGuinn","Fr.","Stonehill","NEC","6-8","F",13,69,-5.2,-0.9,-6.1,0,0,7.9,1.3,4.6,1.7,0.5,0.6,2.2,2.5,3.4,51.1,3.3,32.6,0.9,0.9,4.6,50,41.1
"Mouhamadou Dioum","Fr.","California Baptist","WAC","6-5","F",7,40,-5.1,-1,-6.1,0,0,3,0.8,2.6,0.8,0.9,2.6,2.3,5.9,1.1,5.7,2,48.9,2.8,0.6,1.8,50,22.6
"Ramzi Salem","Fr.","Valparaiso","MVC","6-3","G",2,6,-4.9,-1.2,-6.1,0,0,10.6,0,10.8,5.3,0,0,5.1,6.1,0,0,0,0,5.6,0,10.7,100,51.7
"Yussif Basa-Ama","Sr.","Miami (FL)","ACC","6-9","F",7,13,-4.6,-1.5,-6.1,0,0,0.3,2.4,7.1,0,0,0,0,2.5,2.5,4.2,0,0,2.4,1.2,0,0,3.1
"Zachary Royster","Jr.","Loyola Chicago","Atlantic 10","6-7","F",9,11,-5.6,-0.5,-6.1,0,0,0.4,5.5,11.4,0,0,0,0,0,5.7,3.3,0,0,0,0,0,0,3.3
"Xavier Sykes","Jr.","Southern Utah","WAC","5-10","G",22,163,-4.1,-2,-6.1,-0.1,0,11.7,0.2,2.5,2.2,1,0,3.2,2.8,2.1,59.8,3.7,29.3,7,28.2,2,60,43.1
"Vinko Polovic","So.","Milwaukee","Horizon","6-5","F",2,2,-5.4,-0.7,-6.1,0,0,0,0,0,0,0,18.5,0,0,0,0,0,0,0,0,0,0,0
"Tyler Ode","Fr.","Toledo","MAC","6-5","G",10,33,-4,-2.1,-6.1,0,0,2.5,1.1,0,1.8,0,0,1.2,0.9,0.9,0,0,0,3.5,24.3,0,0,28.7
"Terrell Gaines","Fr.","Austin Peay","ASUN","5-8","G",16,72,-5.2,-0.9,-6.1,0,0,9.9,0.9,1.3,0.9,2,0,1.7,2.2,3.8,45,0.9,0,5,26.4,4,66.7,43.7
"Tegra Izay","Sr.","Southern Miss.","Sun Belt","7-0","C",3,25,-5.5,-0.6,-6.1,0,0,7.3,1.3,3.9,0,1.2,3.6,1.4,6.7,3.8,96.6,1,1.6,0,0,0,0,76
"Amaan Sandhu","Jr.","Manhattan","MAAC","7-1","C",1,4,-4.9,-1.2,-6.1,0,0,1.2,0,0,0,0,15.6,0,23,12.1,4.8,0,0,0,0,0,0,4.8
"Allen Myers","So.","Manhattan","MAAC","6-9","G",1,4,-4.9,-1.2,-6.1,0,0,0.3,0,0,0,0,13,0,0,0,0,9.1,1.9,0,0,0,0,1.9
"Isaiah Barganier","Jr.","UTRGV","Southland","6-7","F",1,3,-5.2,-0.9,-6.1,0,0,0,0,0,0,9.7,0,0,8.2,0,0,0,0,14.5,0,0,0,0
"Christian Tomasco","Sr.","Temple","AAC","6-9","F",3,2,-5,-1.1,-6.1,0,0,18.1,0,0,0,0,0,0,0,0,0,0,0,0,0,36.2,50,56.8
"Holden Pierre-Louis","Fr.","Temple","AAC","6-8","F",2,1,-5,-1.1,-6.1,0,0,0,0,0,54.8,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dante Kearse","Fr.","The Citadel","SoCon","6-4","F",20,180,-4.8,-1.4,-6.2,-0.1,0.1,7.8,1,3.7,0.8,1.4,0.2,1.6,4.2,2.8,41.4,0.2,0,5.6,28.4,2,40,41.5
"Dominic Gooden","Jr.","NIU","MAC","6-1","G",5,53,-5.2,-1,-6.2,0,0,7.7,0.5,3.2,1.6,2.1,0,2.2,4.4,2.1,51.1,1.1,0,2,0.2,5.5,100,50.1
"Aidan Driggers","Jr.","Jacksonville St.","C-USA","6-6","F",3,0,-5.3,-0.9,-6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jackson Kotecki","So.","Miami (OH)","MAC","6-9","F",15,82,-4.7,-1.5,-6.2,0,0,5.7,1.9,4.3,1.7,0.4,0.8,3.2,5.2,2.8,56.1,1.5,24.8,2.8,0,3,62.5,33.9
"Jake Shapiro","So.","Tulane","AAC","6-1","G",6,4,-5,-1.2,-6.2,0,0,33.4,0,0,0,0,0,5.3,0,0,0,4.4,1.6,11.1,99.9,0,0,107.6
"Marland Harris","Jr.","Morgan St.","MEAC","6-10","F",12,174,-5.1,-1.1,-6.2,-0.1,0.1,8,2.5,4.9,0.2,0.9,2.3,1.9,5,4.3,63.3,2.3,18.4,0,0,3.2,52.9,50
"Carson Prost","Sr.","Eastern Ill.","OVC","6-3","G",13,118,-5.2,-1,-6.2,0,0.1,3.7,0.6,2.3,0.3,0.9,0.6,0,4.3,0.9,63.8,1,50.3,2.2,14.1,1.6,40,38.6
