"Name","Class","Team","Conference","Height","Pos","GP","MP","OPPM","DPPM","PPM","WAWO","DWAWO","PTS","ORB","DRB","AST","STL","BLK","TOV","PF","RIMA","RIM%","MIDA","MID%","3PA","3P%","FTA","FT%","TS%"
"Johni Broome","Sr.","Auburn","SEC","6-10","C",31,935,9.3,4.3,13.6,9.5,3.1,23.8,4.1,9.1,4.2,1.1,2.9,1.5,2.2,11.2,63.5,3.3,44.2,2.8,29.8,6.8,60.7,58.5
"Cooper Flagg","Fr.","Duke","ACC","6-9","F",32,980,7.4,6.1,13.5,9.6,4.1,23,1.7,7.6,5.2,1.8,1.7,2.6,2.3,6.9,65,4.2,40.6,4.3,37,7.1,83,62.3
"Kam Jones","Sr.","Marquette","Big East","6-4","G",32,1070,8.5,3.3,11.8,9.9,3,21.3,0.6,4.4,6.6,1.5,0.3,1.8,2.2,8.4,65.7,2.2,45.5,6.5,31.9,3.1,64,57.5
"Aniwaniwa Tait-Jones","Sr.","UC San Diego","Big West","6-6","F",32,982,7.5,3.3,10.8,8.5,2.8,23.5,1.7,4.8,4.4,1.3,0.6,2.4,2.3,9.9,67.3,1.7,27.9,1.6,30.4,10.1,76.4,66.5
"Max Shulga","Sr.","VCU","Atlantic 10","6-5","G",32,1066,6.1,4.3,10.4,8.8,3.5,16.4,2,4.6,4.5,2.1,0.2,1.8,2.1,3,58.4,2.4,37.9,5.6,38.8,5.8,78.1,60.4
"Nique Clifford","Sr.","Colorado St.","MWC","6-6","G",33,1164,6,3.9,9.9,9.3,3.6,19.7,1.5,8.6,4.5,1.3,0.7,2.6,2.3,4.5,67.2,4.3,47.7,4.9,39.9,4.7,76.2,62.1
"Walter Clayton Jr.","Sr.","Florida","SEC","6-3","G",31,1001,6.7,3.1,9.8,8.6,2.9,18.4,0.4,3.8,5.2,1.4,0.6,2.2,1.8,3.6,65,2.2,42.3,8,38.1,3.2,84.6,60.5
"John Tonje","Sr.","Wisconsin","Big Ten","6-5","G",33,1014,6.4,3.1,9.5,8.2,2.8,23.5,0.9,5.6,2.1,1,0.2,2.2,1.9,4.6,64.5,2.2,43.4,6.7,40.7,8.2,91,68.6
"Kon Knueppel","Fr.","Duke","ACC","6-7","G",34,1036,6.3,3.2,9.5,8,2.8,17.6,1.3,3.8,3.6,1.3,0.3,1.6,2.5,3.9,65.6,1.3,46.2,6.5,39.3,4,91.4,65.5
"JT Toppin","So.","Texas Tech","Big 12","6-9","F",28,739,7.2,2.3,9.5,5.7,1.6,26.5,4.5,8.4,1.7,1.2,1.9,2.1,3.1,11.5,68,5,43.6,2.3,31.8,6.2,70,61.6
"Bennett Stirtz","So.","Drake","MVC","6-4","G",31,1246,6.6,2.8,9.4,8.7,2.8,19.2,0.7,3.8,5.7,2.1,0.3,2.1,1.5,4.4,70.7,4.3,36.4,4.7,38.3,5.5,79.4,60.5
"Milos Uzan","Jr.","Houston","Big 12","6-4","G",33,1028,5.8,3.6,9.4,7.4,2.8,14.3,0.5,3.5,5.9,1.3,0.1,1.7,2.5,2.1,54.9,4.7,47.3,4.5,43.6,2.2,75.9,58.2
"Amari Williams","Sr.","Kentucky","SEC","7-0","F",32,723,5.1,4.2,9.3,6.2,2.6,16.5,3,9.9,5.3,0.8,1.9,3.2,2.9,6.6,71.1,2.4,42.4,0.2,25.3,7.7,64.7,65.7
"Henri Veesaar","Jr.","Arizona","Big 12","7-0","F",33,685,5.3,4,9.3,5.6,2.3,17.6,3.8,5,2.2,1.4,2.1,1.7,4.3,7,77.9,1.1,38.9,2.2,35.9,4.8,70.3,70.5
"Braden Smith","Jr.","Purdue","Big Ten","6-0","G",32,1173,6.8,2.4,9.2,9,2.7,15.9,0.4,4.5,9.6,2.3,0.2,2.6,1.6,2.3,66.9,4.1,41.1,6.1,39.3,2.5,83.3,57.8
"Thomas Haugh","So.","Florida","SEC","6-9","F",32,771,5.4,3.8,9.2,6.3,2.5,13.8,3.1,5.9,3.2,1.1,1.1,1.4,3.2,4.1,68.6,0.8,31.6,3.4,36.3,5.1,80.4,66.1
"Javon Small","Sr.","West Virginia","Big 12","6-2","G",31,1120,5.9,3.2,9.1,8.4,3,19,0.5,3.9,6.2,1.5,0.4,2.5,1.5,3.6,63.4,2.8,32.5,7.4,35.9,5.5,87.4,59
"Hunter Dickinson","Sr.","Kansas","Big 12","7-2","C",32,951,5.1,4,9.1,7.6,3.1,21,3.3,9.3,2.6,1.3,1.7,2.3,2.4,8.5,68.2,5,44.6,2,28.1,4.6,74.2,60.4
"Anthony Robinson II","So.","Missouri","SEC","6-3","G",32,741,5.1,3.9,9,5.9,2.4,13.7,1.4,3.4,5.7,3,0.3,2.3,4.3,3.5,57,2,50.3,2.3,41.3,6.3,77.6,64.9
"Ryan Kalkbrenner","Sr.","Creighton","Big East","7-1","C",32,1093,5.2,3.8,9,8.4,3.3,21.2,2.6,7,1.7,0.6,3.1,1.4,1.4,9.9,78.2,0.8,24.1,1.8,34.9,5.1,66.9,71.7
"Ja'Kobi Gillespie","Jr.","Maryland","Big Ten","6-1","G",33,1046,6.5,2.4,8.9,8.3,2.5,15.8,0.6,2.5,5.7,2.1,0.1,2,1.9,3.3,62.8,2.2,37.3,6.1,41.6,2.8,86.4,61.6
"Yaxel Lendeborg","Sr.","UAB","AAC","6-9","F",32,1060,6.6,2.3,8.9,8.3,2.5,18.9,3.9,7.4,4.3,1.7,1.8,2.1,2.4,6.9,70.6,3.9,35.9,2,35.1,5.6,76,61.9
"Chucky Hepburn","Sr.","Louisville","ACC","6-2","G",32,1110,5.6,3.2,8.8,8.6,3.1,16.9,0.5,3.2,6.3,2.6,0.1,3,2.7,3.1,65.9,2.2,45.3,5.6,34.3,6.1,83.9,62.4
"Braden Huff","So.","Gonzaga","WCC","6-10","F",33,533,6.5,2.3,8.8,4.1,1.2,23.4,2.8,4.3,2.1,0.6,1.4,0.9,3.8,10.8,68.3,5.1,50,2,24,2.8,74.4,61.1
"Collin Murray-Boyles","So.","South Carolina","SEC","6-8","F",31,957,5.1,3.6,8.7,7,2.8,21,2.6,7.4,3.2,1.6,1.8,2.7,2.8,9.5,69.9,2,40.2,1.3,27.3,7.1,71.1,66
"Bent Leuchten","Sr.","UC Irvine","Big West","7-0","C",33,874,4.6,4.1,8.7,6.8,2.9,19.9,3.1,8.7,2.1,0.7,1.8,2,2.1,8.2,61.1,1.7,26.4,1.4,45.7,8.5,82.4,66
"Viktor Lakhin","Sr.","Clemson","ACC","6-11","F",32,759,4.7,3.9,8.6,5.4,2.3,19.1,3.6,6.7,2.6,1.6,2.7,2.3,4.3,8.7,57,2.4,55.2,3,36.6,4.6,69.7,59.1
"Graham Ike","Sr.","Gonzaga","WCC","6-9","F",33,742,6.8,1.7,8.5,5.7,1.5,26.2,3.3,8.4,2.3,1,1,2.5,4.2,10.6,70.4,4.3,46.1,1.4,36.9,7.3,79.7,67.3
"Nate Bittle","Sr.","Oregon","Big Ten","7-0","C",32,880,4.7,3.8,8.5,6.5,2.7,18.9,2.5,7.8,2.7,1,2.9,1.9,3.1,7.5,62.9,2.1,50.3,3.7,33.9,4.3,81.4,61.9
"Danny Wolf","Jr.","Michigan","Big Ten","7-0","F",33,995,3.5,4.9,8.4,7.7,3.8,15.5,2.5,9.1,4.5,0.9,1.6,3.4,2.2,6.5,63.9,1.3,34.3,3.3,35.7,4.5,61,59.2
"Bruce Thornton","Jr.","Ohio St.","Big Ten","6-2","G",32,1156,6.7,1.6,8.3,8.4,2.2,17.3,0.3,3.2,4.8,1.2,0.1,1.4,1.4,2.1,65,4.7,51.7,4.2,42.8,5.1,85.3,65.5
"Trey Kaufman-Renn","Jr.","Purdue","Big Ten","6-9","F",32,971,7.7,0.6,8.3,7,1.3,24.8,3,4.7,3,0.9,0.4,2.6,3.3,10,73.7,5.6,46.5,0.3,42.7,7.1,63,65.2
"Zakai Zeigler","Sr.","Tennessee","SEC","5-9","G",31,1051,4.9,3.4,8.3,7.4,2.9,15.1,0.5,2.9,8.6,2.2,0.3,3.2,2,4.1,59.1,1.1,35.7,5.7,31.5,5.2,78.6,57.3
"Alex Condon","So.","Florida","SEC","6-11","F",29,725,4.5,3.7,8.2,5.6,2.3,15.8,4.1,6.8,3.4,0.9,2.2,1.5,2.8,6.8,62.9,1.3,37.4,2.1,33.9,6.7,61.3,60
"Sion James","Jr.","Duke","ACC","6-6","G",34,861,4.4,3.8,8.2,6.1,2.6,13,1,5.3,4.8,1.4,0.6,1.7,2.9,4.7,62.3,0.6,53.2,2.6,42.5,3.8,82.1,67.5
"Tarris Reed Jr.","Jr.","UConn","AAC","6-10","F",32,643,4.1,4.1,8.2,4.5,2,19.3,5,8.9,1.9,1.2,3.5,2.1,4.8,10.3,72.6,0.5,45.9,0,0,5.9,65.3,71.9
"Donovan Dent","Jr.","New Mexico","MWC","6-2","G",32,1139,6,2.1,8.1,8.8,2.6,20,0.3,2,6.3,1.3,0.8,2.6,1.2,7.6,61.2,4.7,37.4,1.8,40.9,6.4,78.1,59.2
"Jacksen Moni","Sr.","North Dakota St.","Summit League","6-10","F",25,781,7.7,0.4,8.1,5.6,1,23,1.3,5.3,4.1,0.7,0.6,3,2.6,5.5,65.8,4,42.6,6.7,39.3,5.4,84.5,62.2
"Zuby Ejiofor","Jr.","St. John's (NY)","Big East","6-9","F",34,1078,3.9,4.2,8.1,8.1,3.7,16.3,4.8,4.2,1.9,0.9,1.6,1.9,2.7,7.3,68.5,0.6,36.6,1.3,24.7,7.1,69.4,66.2
"Joshua Jefferson","Jr.","Iowa St.","Big 12","6-8","F",32,935,4.2,3.8,8,6.9,3,16.1,2.1,6.7,3.9,2.5,0.9,2.5,2.6,5.7,69,2.9,36.4,1.8,35.7,5.4,77.4,62.9
"Augustas Marciulionis","Sr.","Saint Mary's (CA)","WCC","6-4","G",32,1137,4.8,3.2,8,7.6,2.9,15.3,0.4,3,7,1.5,0.1,2.3,2.1,4.7,56,2.8,42.7,4.4,34.1,3.8,79.6,55.9
"Lamont Butler","Sr.","Kentucky","SEC","6-2","G",23,579,5,3,8,4.5,1.7,15.2,1,2.6,6.1,2.1,0.2,2.5,3.2,5.6,66.6,1.3,26.5,2.9,36.5,5.4,72.2,62.3
"Adou Thiero","Jr.","Arkansas","SEC","6-6","F",26,740,4.3,3.6,7.9,5.4,2.3,19.5,2.2,5.4,2.4,2.1,1,2,3,6.4,70,3.4,49,1.9,26.8,8.3,68.8,63.6
"Derik Queen","Fr.","Maryland","Big Ten","6-10","C",33,978,3.9,4,7.9,7.3,3.3,19.6,2.7,8,2.2,1.3,1.3,2.6,2.4,8.5,67.6,3.2,32.4,0.9,15.1,7.3,76.8,62
"Kadary Richmond","Sr.","St. John's (NY)","Big East","6-6","G",34,1124,2.9,5,7.9,8.3,4.3,13.1,1.4,5.5,5.8,2.2,1,2,1.9,5.4,60.4,4.2,46.9,1.2,18.5,3.5,54.7,52.8
"Oscar Cluff","Sr.","South Dakota St.","Summit League","6-11","C",28,787,5.8,2.1,7.9,5.8,1.8,20.4,5.2,10.1,3.5,0.6,1,2.8,2.8,11.1,61.4,1.1,51.7,0.3,66.5,6.6,77.8,66.5
"Mitchell Saxen","Sr.","Saint Mary's (CA)","WCC","6-10","C",32,964,3.6,4.2,7.8,6.3,2.9,14.5,5.3,5.2,2.5,1.7,1.9,1.8,3.7,9.6,56.6,0.9,45.9,0,1.7,5.3,51.9,56.1
"Chad Baker-Mazara","Sr.","Auburn","SEC","6-7","F",32,812,5.7,2,7.7,5.8,1.7,17.7,0.7,3.8,4.2,1.7,1,1.8,3.7,2.9,73,2.8,44.3,5.1,39.1,5.5,89.4,66.7
"Caleb Grill","Sr.","Missouri","SEC","6-3","G",28,724,6.8,0.9,7.7,5.3,1.2,18.2,1,4.1,1.8,2.2,0.1,1.2,2.1,2.3,77.7,0.9,47.6,8.8,40.9,3.6,85.5,67.3
"Mouhamed Dioubate","So.","Alabama","SEC","6-7","F",32,506,4.1,3.6,7.7,4,1.7,15.1,4.3,8.4,2.6,2.1,1.6,2.1,4.2,6.5,68,1,75.4,1.3,40.7,5.3,61.3,68.2
"Eric Dixon","Sr.","Villanova","Big East","6-8","F",32,1101,7.4,0.2,7.6,7.2,1.2,26,1.7,4.2,2.4,0.8,0.3,2.4,2.2,6.5,57.7,3.9,34.9,8,42.4,6.9,83.2,61
"Darrion Williams","Jr.","Texas Tech","Big 12","6-6","F",29,870,5.6,2,7.6,5.9,1.8,17.7,2,4.6,4.8,1.5,0.5,2.3,2.4,4.5,59.9,4.8,39.6,4.5,38.1,4,84.2,57
"Eric Dailey Jr.","So.","UCLA","Big Ten","6-8","F",31,741,5.1,2.4,7.5,4.9,1.7,18,2,4.5,2.3,2.1,0.2,1.4,3.9,4.3,69.6,4.1,45.4,4.3,40.4,4.3,70.7,61.5
"Thomas Sorber","Fr.","Georgetown","Big East","6-10","C",24,752,2.1,5.4,7.5,5.2,3,16.5,3.1,6.6,2.9,1.7,2.4,2.3,2.5,8,66.9,1.9,32.5,1.8,16.4,5,72.4,59.3
"Ryan Nembhard","Sr.","Gonzaga","WCC","6-0","G",33,1155,4.9,2.5,7.4,8.2,2.9,10.5,0.3,2.8,10.3,1.7,0.1,2.3,1.4,2.5,60.6,3.1,38.1,2.6,39.6,2.5,76.5,56
"Denver Jones","Sr.","Auburn","SEC","6-4","G",31,849,4.8,2.5,7.3,5.7,2,14.3,0.4,2.4,3.9,0.9,0.3,1.7,1.7,2.1,51.3,1.8,47.4,5.4,42.8,3.8,92.9,65.2
"Aday Mara","So.","UCLA","Big Ten","7-3","C",31,389,3.4,3.9,7.3,2.6,1.2,18.7,5.2,6.4,2.7,0.6,4.2,2.3,3.8,10.3,65.1,2,41.6,0,0,6.5,55.9,61.7
"Anthony Roy","Sr.","Green Bay","Horizon","6-5","G",11,364,7.2,0.1,7.3,2.6,0.4,25.6,0.5,4.6,3,1.4,0.1,2.8,2.5,4.9,62.7,1.1,57.8,10.1,43.3,6,86.4,68.7
"Jase Richardson","Fr.","Michigan St.","Big Ten","6-3","G",32,786,4.7,2.6,7.3,5.5,2,17.3,0.9,3.9,2.7,1.1,0.5,1.2,1.9,3.5,70.7,2.9,47.4,4.2,41.6,5.2,84,67.2
"RJ Luis Jr.","Jr.","St. John's (NY)","Big East","6-6","G",33,1055,4,3.3,7.3,7.5,3.1,19.9,2.4,5.5,2.3,1.5,0.7,2.3,2.3,7.2,58.7,4,36.8,4.1,32.7,6,75,55.5
"Curtis Jones","Sr.","Iowa St.","Big 12","6-4","G",31,933,5.1,2.1,7.2,6.6,2.1,19.2,0.6,4.4,2.8,1.4,0.2,1.3,1.7,2.5,54.6,4.3,43.4,7.7,38,4.8,83.9,58
"RJ Davis","Sr.","North Carolina","ACC","6-0","G",34,1158,5.5,1.7,7.2,8.1,2.4,17.4,0.4,3.4,3.9,1.1,0.1,1.5,1.6,3.7,56.6,3,41,6.4,34.8,4.8,88.2,57.7
"Andrew Carr","Sr.","Kentucky","SEC","6-11","F",31,741,4.1,3,7.1,5.3,2.1,15.5,2.1,5.1,2.7,0.9,1.1,1.2,2.5,4.2,81.5,2.3,48.1,2.8,34.2,4.6,75.2,67.9
"Emanuel Sharp","Jr.","Houston","Big 12","6-3","G",30,809,4.5,2.6,7.1,5,1.8,18.3,0.6,4.1,1.4,2.1,0,1,3.2,1.4,59.6,2.5,37.7,7.9,44.2,4.9,89,65.9
"Chaney Johnson","Sr.","Auburn","SEC","6-7","F",32,723,3.1,4,7.1,5,2.4,15.2,2.4,5.2,2.3,1.3,1.6,1.4,3.9,5.2,75.4,2.6,59.3,2.2,32.7,3,70.5,67.1
"Chase Walker","So.","Illinois St.","MVC","6-9","F",30,727,6.1,1,7.1,4.7,1.1,22.4,3.8,5.6,3.1,1.1,0.5,3,3.9,9.5,63.6,3.2,43.1,1.2,37.4,8.7,70.4,62.9
"LJ Cryer","Sr.","Houston","Big 12","6-1","G",33,1065,5.2,1.9,7.1,6.5,2,18.3,0.4,2.3,2.5,1.1,0.1,1.3,1.6,1,55.5,4.5,40.6,8.2,43,3.2,91.5,60.3
"Tayton Conerway","Sr.","Troy","Sun Belt","6-3","G",30,931,3.8,3.3,7.1,6.2,2.6,16.7,2.1,3.1,5.7,3.4,0.5,3.3,2.9,8.2,60.1,0.8,37,4.6,26.8,3.9,66,54.6
"Wade Taylor IV","Sr.","Texas A&M","SEC","6-0","G",28,861,4.8,2.3,7.1,5.8,2,18.4,0.2,3.7,5.5,1.5,0.1,2.8,2.7,2.7,48.9,2.9,33.7,8.6,33.6,5.8,88.3,54.8
"Will Riley","Fr.","Illinois","Big Ten","6-8","F",33,835,5.6,1.5,7.1,5.9,1.6,16.9,1.7,4,3.3,0.4,0.3,1.4,1.4,4.2,66.5,3.9,37.1,5.3,32.7,4.6,71.6,55
"V.J. Edgecombe","Fr.","Baylor","Big 12","6-5","G",30,986,3.8,3.3,7.1,6.4,2.7,17.7,2.3,4.3,4,2.4,0.7,2,2.8,4.8,62.7,3.3,39.2,5,34.6,5,77.5,57.7
"Kobe Sanders","Sr.","Nevada","MWC","6-9","G",33,1041,6.1,0.9,7,6.7,1.6,18.5,0.7,3.8,5.3,1.3,0.3,2,2.4,3.6,57.7,5.5,48.3,4,34.3,6.1,79.5,58.4
"Jordan Gainey","Sr.","Tennessee","SEC","6-4","G",32,869,4.1,2.9,7,5.6,2.2,15.2,1.2,3.9,2.8,1.5,0.6,1.3,2.5,3.2,58.2,2.6,43.2,5.7,30.3,5,82.1,55.8
"Tomislav Ivisic","So.","Illinois","Big Ten","7-1","C",30,796,4,3,7,5.6,2.2,16.4,2.3,7.9,3,0.7,1.6,1.9,2.8,4,77.9,2.6,45.5,5.5,35.2,2.6,74.6,61.7
"Dylan Harper","Fr.","Rutgers","Big Ten","6-6","G",29,945,6.1,0.8,6.9,6.4,1.5,21.3,0.8,4.2,4.2,1.6,0.6,2.4,2,6.7,71.1,2.7,30.7,5.4,33.6,6.4,75,60.8
"Alvaro Cardenas","Sr.","Boise St.","MWC","6-1","G",33,1148,5.2,1.7,6.9,7.2,2.2,12.5,0.5,3,7.8,1.4,0,2.4,2.2,2.4,63.9,2.4,44.8,5,31.5,3.4,76.4,55.5
"Mark Sears","Sr.","Alabama","SEC","6-1","G",32,1034,5.6,1.3,6.9,7.7,2.1,18.6,0.4,2.8,5.4,1,0.1,2.5,1.2,5.1,52.8,1.2,40,6.5,34.5,6.6,84.6,59.3
"Ace Baldwin Jr.","Sr.","Penn St.","Big Ten","6-0","G",30,1015,4.4,2.4,6.8,7,2.5,14.3,0.4,2.5,7.3,2.5,0,3.4,2.2,3.5,49.8,1.8,31.7,4.4,31.9,5.9,92.7,58.1
"Chaz Lanier","Sr.","Tennessee","SEC","6-5","G",32,999,4.3,2.5,6.8,6.3,2.3,20.9,0.6,4.3,1.4,1.1,0.3,1.1,1.7,2.3,66.1,4.9,43.4,9.5,40.2,3,72.7,58.1
"Dylan Darling","So.","Idaho St.","Big Sky","6-2","G",26,914,6.1,0.7,6.8,5.8,1.3,20.6,0.4,3.2,5.7,1.7,0.4,2.6,1.6,4.7,58.9,4.3,35.1,5.6,35.6,7.5,81,57.5
"Devin McGlockton","Jr.","Vanderbilt","SEC","6-7","F",31,767,4.3,2.5,6.8,5.2,1.9,15,4.5,7.1,1.5,1.2,1.6,1.1,4,6.7,70.6,0.6,53,3.3,34.9,2.3,64.2,64.8
"Miles Byrd","So.","San Diego St.","MWC","6-7","G",29,883,2.9,3.9,6.8,5.6,2.7,15.2,1.2,4.4,3.5,2.7,1.4,1.7,2.5,3.7,56.3,1.8,34.1,7,31,3.9,82.8,53.2
"Taelon Peter","Sr.","Liberty","C-USA","6-4","G",31,719,6.5,0.3,6.8,4.8,0.9,20.1,0.4,5.7,1.6,1.2,0.1,1,3.2,4.5,80.1,0.4,28.4,7,46.9,3.8,77.1,74.7
"Josh Hubbard","So.","Mississippi St.","SEC","5-11","G",33,1082,6.4,0.3,6.7,7.3,1.4,19.8,0.3,2.2,3.6,1,0.1,1.1,1.8,2.9,63.2,2.7,35.9,9.6,35,4.8,87.8,57.4
"Ian Schieffelin","Sr.","Clemson","ACC","6-8","F",32,1061,3.3,3.4,6.7,6.6,2.9,14.9,3.6,7.4,3.2,0.9,0.9,1.7,2,6.5,63.5,1.6,30.1,2.7,34.5,3.8,74.5,59.6
"Jaxon Kohler","Jr.","Michigan St.","Big Ten","6-9","F",33,686,3.4,3.3,6.7,4.6,2,13.9,4.3,8.9,2.4,0.7,1.4,2,2.8,5.8,68.2,1.7,32,2.4,34.3,2.9,81.5,61.9
"Zach Freemantle","Sr.","Xavier","Big East","6-9","F",28,863,3.8,2.9,6.7,5.7,2.3,20,2,6.1,2.5,1.2,0.9,1.9,2.1,8.1,68.3,2.5,42.4,3.6,31.4,4.4,77.1,61.9
"Cedric Coward","Sr.","Washington St.","WCC","6-6","G",6,199,5.3,1.3,6.6,1.4,0.4,17.3,1.7,5.2,3.7,0.8,1.7,2.1,2.7,3,72.4,2.1,67.4,5.1,40,4.8,83.9,70.3
"Brice Williams","Sr.","Nebraska","Big Ten","6-7","G",31,1039,5.8,0.8,6.6,6.7,1.6,21.2,0.6,3.9,3.1,1.3,0.4,2.4,1.7,4,69.3,4.6,42.9,5.3,35.9,6.6,89.4,62.8
"Vladislav Goldin","Sr.","Michigan","Big Ten","7-1","C",33,899,3.9,2.7,6.6,6.1,2.4,22.3,2.8,6.1,1.5,0.7,1.8,2.6,2.2,9.9,69.4,1.5,54.8,1,36.4,7.8,72.8,69.9
"Igor Milicic Jr.","Sr.","Tennessee","SEC","6-10","F",31,809,3.4,3.1,6.5,4.9,2.1,14.7,2.9,7.7,3.4,1.1,1.2,2,3.4,5.5,65.9,0.5,8.3,4.9,32.2,3.5,74,58.8
"Kasparas Jakucionis","Fr.","Illinois","Big Ten","6-6","G",31,953,5.1,1.4,6.5,6.4,1.8,17.2,1.4,4.9,5.5,1,0.4,3.6,2.7,4,69.8,1.7,34.6,5.3,33.6,6,84.1,62.9
"Ben Gregg","Sr.","Gonzaga","WCC","6-10","F",33,676,4.7,1.8,6.5,4.5,1.4,16.1,3.3,5.5,2.3,1.2,0.9,1.1,2.7,5.6,77.7,1,54.2,3.5,27.8,4.4,78.6,67.1
"Javohn Garcia","Sr.","McNeese","Southland","6-3","G",31,903,4,2.5,6.5,5.7,2.2,15.3,1.1,3.3,2.4,1.7,0.6,1.1,2.7,3.5,49.1,4.6,44.9,3.6,32.9,5.1,81.2,54.6
"Labaron Philon","Fr.","Alabama","SEC","6-4","G",32,777,4.1,2.4,6.5,5.6,2.1,14.6,1.2,3.3,5.2,1.8,0.4,2.2,2.1,5.5,62.6,1.7,48.5,4.3,29.4,3.1,74.3,56.9
"Jeremiah Fears","Fr.","Oklahoma","SEC","6-4","G",32,950,5.5,1,6.5,6.4,1.6,20.1,0.8,4,5,1.9,0.2,3.8,2.1,6.5,55.3,3,47.5,4.3,28.8,7.4,84.1,58.5
"Rodney Rice","So.","Maryland","Big Ten","6-4","G",33,1016,4.7,1.8,6.5,6.7,2.1,15.4,0.6,1.8,2.4,0.8,0.1,1.1,1.8,1.8,54.4,3.1,54.1,6.4,37.9,3.5,80,59.9
"Ryan Conwell","Jr.","Xavier","Big East","6-3","G",31,1017,5.1,1.4,6.5,6.6,1.9,18.5,0.3,2.9,2.8,1.4,0.2,1.7,2.6,3.4,58.8,1.1,34.2,7.6,43.7,4.5,82.5,65.4
"Tytan Anderson","Sr.","UNI","MVC","6-6","G",31,942,4.4,2.1,6.5,5.8,2,18.6,2.5,5.6,3.3,1.4,0.7,2.5,3.1,8.6,64,1.4,43.4,1.3,26.5,7.6,70.4,63.4
"PJ Haggerty","So.","Memphis","AAC","6-3","G",33,1202,4.5,2,6.5,8.1,2.7,20,1.1,4.3,3.6,1.7,0.1,3,1.9,5.2,62.1,5,43.4,2.7,39,7.3,81.4,61.7
"Terrance Arceneaux","Jr.","Houston","Big 12","6-6","G",33,708,2.1,4.4,6.5,4.2,2.2,13.3,1.9,3.5,1.7,1.9,0.6,1.1,2.1,3.3,64.5,3.4,45.7,4,34.1,2.5,75.6,56.5
"Julian Reese","Sr.","Maryland","Big Ten","6-9","F",33,935,2.5,3.9,6.4,6,3,16.7,3.6,7.8,1.6,1.3,2.2,1.9,3.1,7.7,64.9,3.1,38.1,0,0,5.9,74.2,62.2
"David N'Guessan","Sr.","Kansas St.","Big 12","6-9","F",32,959,3.4,3,6.4,6.1,2.5,16.9,3.6,5.4,1.7,1,1.1,1.3,2.9,8.6,73.2,1.1,40.1,0.8,28.9,4.8,59.2,67.5
"Richie Saunders","Jr.","BYU","Big 12","6-5","G",32,940,5.5,0.9,6.4,6,1.5,19.6,1.5,3.9,2.1,1.4,0.6,1.4,2.3,4.6,68,2.1,45.7,6.2,43.5,4.1,81.7,66.8
"Will Richard","Sr.","Florida","SEC","6-4","G",32,1004,3.5,2.9,6.4,6.7,2.7,15.1,1.3,3.9,2,1.7,0.3,1.6,2.2,3.6,77.6,1,45.5,6.2,36.1,2.3,81.2,63.9
"Dylan Cardwell","Sr.","Auburn","SEC","6-11","C",32,642,2.8,3.5,6.3,4,1.9,10.2,4,4.7,3.2,1.5,2.8,1.1,4.3,5.7,78.5,0.4,0.8,0.1,50.6,3,34.6,67.4
"AK Okereke","Jr.","Cornell","Ivy League","6-7","F",25,655,5.4,0.8,6.2,4.3,1,17.6,1.6,4.2,5.2,1.4,1.4,2.5,2.9,6.6,67.1,1.7,56.8,2.4,32.9,5.7,77.4,66.5
"Joseph Tugler","So.","Houston","Big 12","6-8","F",33,737,1.6,4.6,6.2,4.1,2.3,10.8,4.7,6.1,1.8,1.8,3.9,1.8,5.5,5.8,62.3,1.5,40.9,0.6,27.9,3.4,54.1,57.4
"John Blackwell","So.","Wisconsin","Big Ten","6-4","G",33,1017,4.3,1.9,6.2,6.3,2.1,18,1.2,4.9,2.7,1,0.1,2.3,2.9,5.6,61,2.7,39.4,5.4,33.3,4.6,80.3,57.5
"Tyson Degenhart","Sr.","Boise St.","MWC","6-8","F",33,1117,5.4,0.8,6.2,6.6,1.6,20.4,2.3,4.5,1.6,0.6,0.3,1.6,2.4,7.3,69.2,1.2,22,4.4,32.4,6.9,79.2,63.8
"Mark Mitchell","Jr.","Missouri","SEC","6-9","F",32,870,4,2.1,6.1,5.6,2,18.4,1.7,4.2,2.7,1.2,1,1.9,2,7.5,66.9,2.1,30.5,2,26.4,8.3,66.7,60.5
"Dylan Faulkner","So.","Lipscomb","ASUN","6-9","F",13,231,3.5,2.6,6.1,1.4,0.6,20.1,3.4,6.7,3.6,1,3.4,2.9,4,10,68.8,2.2,43,1.1,1.1,6.3,70.5,62.5
"Malik Reneau","Jr.","Indiana","Big Ten","6-9","F",26,604,4.1,2,6.1,3.8,1.3,21.3,2.5,6,3.2,1.3,0.9,2.2,3.5,12.3,63.2,1.5,45.5,1.4,12.7,5.4,73.3,61
"Norchad Omier","Sr.","Baylor","Big 12","6-7","F",32,1008,4.1,2,6.1,6,2.1,19.3,4.7,8.2,2,1.4,1.1,2.6,4,5.9,74.8,3.8,52.9,2.3,30.2,5.8,75,66.3
"Jaemyn Brakefield","Sr.","Ole Miss","SEC","6-8","F",33,749,4.4,1.6,6,4.7,1.5,17.4,2.1,4.8,3,1.2,0.5,1.7,3,5.5,72.2,2.8,39.3,3,33.3,6,72.4,62.6
"Chance McMillian","Sr.","Texas Tech","Big 12","6-2","G",29,943,5.4,0.6,6,5.6,1.3,16.1,1.2,3.6,2.1,0.8,0.1,1.1,1.6,2.8,74.6,1.5,56.6,5.7,44,3,87.8,70.8
