"Team","Ortg","DRTG","Rtg","EFG%","dEFG%","TO%","dTO%","ORB%","DRB%","FTR","dFTR"
"Oklahoma",7.9,3.3,11.2,54.4,49,16.5,17.7,25.7,73.9,37.5,32.9
"Liberty",4.4,6.6,10.9,55.9,46.5,15.7,16.8,18.3,75.1,30.2,26
"Nebraska",5.2,5.7,10.9,51.9,48.5,16.2,17.6,24.8,75,35.4,26.3
"Utah",4.8,5.7,10.4,51.7,47.3,17.1,15.4,31.8,75.5,35.6,32.7
"Southern California",8,2,10,54.2,50.1,16.7,18,26.5,73.8,35.2,33.1
"UC Irvine",2.3,7.6,9.9,50.4,45.6,17.4,16.8,25.6,76.6,34,23.1
"Oregon St.",8.9,0.9,9.8,53.6,50.3,16.6,15.8,28.8,75.5,37.2,31.3
"North Texas",3.6,6.1,9.7,50.9,47.2,16,18.2,28.3,74.8,34.5,35.8
"San Francisco",3.9,5.5,9.4,52.4,47.1,16.8,17.1,27,76.2,33.5,34.4
"High Point",9.2,0.1,9.3,53.8,49.5,15.6,15.6,30.1,74.3,34.6,32.8
"Chattanooga",10.2,-1.4,8.8,55,50.9,15.3,16.2,22.1,73,29.5,32.5
"Nevada",6.1,2.6,8.8,53.2,50.2,15.7,17.5,25.3,76.6,35.3,35.2
"Butler",8.2,0.5,8.7,53.3,48,15.9,12.9,25.1,75.9,36.4,24.3
"Bradley",5.9,2.6,8.5,54.1,46.8,17,15.3,24.9,73,30.6,33.7
"Arkansas St.",3.4,5,8.4,49.3,47,15.1,16.6,30.4,74.6,33.2,35.5
"UNCW",7,1.3,8.3,50.8,50.7,16.4,17,32.6,74.5,35.5,30.8
"Georgetown",2.2,6,8.2,50.4,47.8,17.1,17.9,30.4,73.7,26.8,29.9
"Akron",5.8,2.3,8.1,52.8,49.5,16.7,16.9,30.7,74.2,26.7,32.5
"UAB",9.8,-1.7,8.1,50,51.8,14.6,15.5,34,73,29.7,28.4
"George Mason",-0.2,8.2,8,51,45.3,18.5,17.4,27.8,74.4,39.9,29.4
"Troy",1.9,6.1,8,49.6,48,18.3,18.8,34.6,71.7,35.1,30
"UNI",4.5,3.4,7.9,53.4,50.3,16.3,16.2,23.2,75.9,32.8,27.9
"Kansas St.",2,5.8,7.8,51,47.7,16.6,17.6,27.5,72,28.5,28.4
"St. Bonaventure",1.9,5.9,7.8,50.5,48.5,15.7,17.7,25.5,76.2,30.1,25.5
"St. Thomas (MN)",8.2,-0.9,7.4,54.8,51.5,14.8,18,19.9,72,32.1,33.1
"Arizona St.",4.3,3,7.3,52.8,48.3,16.6,16.1,23.3,75.2,35,31.1
"Furman",5.6,1.7,7.3,52.3,48.6,16.3,16.2,26.8,72.3,32.8,29.4
"Wake Forest",0.9,6.4,7.3,50.1,46.7,16.8,18.9,25.8,73.8,35,30.5
"Cornell",8.6,-1.7,6.9,55.6,51,16.7,16.2,24.2,72.7,30.3,31.7
"North Ala.",5.3,1.6,6.9,49.5,50,13.4,16.8,29.5,72.9,30.4,28.8
