"Team","Ortg","DRTG","Rtg","EFG%","dEFG%","TO%","dTO%","ORB%","DRB%","FTR","dFTR"
"UT Martin",-4.5,-2.1,-6.6,47.1,51.6,17.8,17.3,30.2,70.9,32.1,31.6
"Abilene Christian",-9.2,2.5,-6.7,47.5,51.2,18.9,20.7,27,71.4,35,44.1
"Bowling Green",-4.5,-2.2,-6.7,48.5,52,16.7,17,21.7,75.8,32.1,29.8
"North Dakota",-0.5,-6.2,-6.7,48.8,54.2,16.9,15.7,31.1,72.9,31.5,31.4
"Evansville",-8.4,1.5,-6.9,47.9,48.5,17.3,16.4,20.6,73.1,30,31.9
"Lehigh",-4.7,-2.2,-6.9,49.9,49.7,15.4,15.7,20.1,72.7,32.1,34.1
"Eastern Wash.",-3.2,-3.8,-7,49.4,52.5,18.2,17.9,25.1,71.1,30.1,36.8
"Alabama St.",-4.3,-3,-7.4,46.6,51.3,13.8,16.7,22.2,71.6,28.5,36.5
"Boston U.",-5.7,-1.8,-7.5,48.5,51.3,19.1,16.3,28.8,76.3,29.9,32.3
"Eastern Mich.",-1.9,-5.6,-7.5,50,53.3,17.8,17.6,26,70.3,32.1,36
"Army West Point",-3.4,-4.3,-7.8,48.2,52.2,15.3,15.8,23.5,70.9,26.4,28.1
"Penn",-2.9,-4.9,-7.8,48.6,50.5,16.6,14.3,24.3,72.4,30.2,26
"UC Davis",-9.2,1.4,-7.8,45.8,48.6,18.3,19.2,26,69.6,35.9,36.5
"Austin Peay",-5.3,-2.6,-7.9,47.2,52.4,14.9,16.9,22.9,72.9,30.3,35.4
"Western Mich.",-4.1,-3.8,-7.9,46.1,53.1,15.6,16.6,31.1,72.5,30.4,32
"Stonehill",-3.4,-4.6,-8,49.8,51.1,17.2,15.5,23.9,72.2,30.8,33.2
"Houston Christian",-5.2,-2.9,-8.1,49.2,52.2,16.9,16.8,23.7,73.6,30.4,29.7
"Binghamton",-4.6,-3.5,-8.2,50,49.5,18.2,13.7,22.8,74.6,33.3,31.4
"IU Indy",2.3,-10.4,-8.2,49,55.7,15.1,15.5,26.1,70,32,32.9
"LIU",-9,0.7,-8.2,46.4,48.3,18.3,18.4,29,73.6,27.9,40.3
"Rider",-3.7,-4.6,-8.3,46.6,52.8,15.9,15.5,28.7,72.3,30.3,28
"Niagara",-3.8,-4.9,-8.6,51,53.4,17.5,16.1,20.5,75.6,30.2,30.3
"Holy Cross",-2.9,-6.1,-8.9,51.6,52.4,17.2,14.2,21.8,73.7,25.2,26.7
"Portland",-2.5,-6.4,-8.9,50,52.8,17.9,14.1,21.7,72.4,30.7,24.3
"Loyola Maryland",-4.5,-4.6,-9.2,48.5,52,17.2,16.6,26.1,72.4,29.6,30.5
"Howard",-1.8,-7.5,-9.3,51.7,52,18.8,16.2,25,70.5,32.1,37
"Saint Peter's",-8.8,-0.4,-9.3,43.9,48.1,18.3,16.6,32.4,71.6,33.8,36.8
"Texas Southern",-9.2,-0.3,-9.5,45.8,48.1,17.9,18.1,26.6,68.2,27.3,32.9
"Gardner-Webb",-4.4,-5.3,-9.7,49.9,51,19.6,14.8,30.3,73.7,33.6,33
"SFA",-10.4,0.7,-9.7,46.6,49.2,19.3,18.6,31.3,71.5,31.8,33.3
"VMI",-6.3,-3.5,-9.7,47.8,52.7,17.3,17.1,22.5,70.9,34.5,30.4
"Bethune-Cookman",-7.5,-2.3,-9.9,47.9,49.4,18,16.3,25.2,71.5,34.2,31
"Delaware St.",-5.9,-4.3,-10.1,47.4,53,17.4,18.2,28.2,71.1,32.9,35.8
"Fairfield",-5.3,-4.7,-10.1,46.8,53,15.5,17.4,25.5,72.8,27.4,32.1
"Weber St.",-5.3,-4.8,-10.1,48.7,51.8,16.9,16.4,23.1,72,32.8,35.1
"FIU",-10.2,0,-10.2,46.9,50.8,19.4,18.6,27.3,74.8,33.4,35.3
"Jackson St.",-7.6,-2.7,-10.3,46.6,51.6,17.5,17.3,26.5,71.3,34.1,30.8
"N.C. Central",-4.5,-6,-10.5,48.2,53.7,17.4,18.5,30,65.5,34.4,36.4
"Coastal Carolina",-4.7,-5.9,-10.6,48.7,49.3,16.5,12.3,25,74.6,32.5,35
"Old Dominion",-6.6,-4,-10.6,44.7,51,16.9,15.2,30.8,72.1,29.7,33.5
"Southern Miss.",-9.2,-2,-11.2,47.9,50.8,18.4,16.2,24.2,72.4,31.8,34
"Denver",-7,-4.3,-11.4,48.9,52,17.8,17.3,23.6,73,31,43.9
"Fresno St.",-9.2,-2.3,-11.5,46.1,51.8,16.8,17.2,25.1,69.3,33.1,24.2
"Eastern Ill.",-10.9,-0.7,-11.7,45.1,51,17.3,19.2,25.1,71.6,31.8,36.7
"Lindenwood",-10,-1.8,-11.8,45.2,50.7,17.6,18.2,26.6,71.9,33,33.1
"Utah Tech",-5.8,-6.1,-11.9,48.3,52.2,17.4,16.2,24.5,71.3,31.9,34.8
"Mercyhurst",-5.3,-6.8,-12.1,47.7,54.4,15.6,18.4,20.8,69,29.3,35.5
"Bellarmine",-2.7,-9.8,-12.5,51.6,56.4,16.4,15.7,18.2,71.8,27.5,34.6
"Le Moyne",-4.9,-7.7,-12.5,50.4,54,18,16.1,24.9,68.4,35.4,36
"Pacific",-7.6,-4.9,-12.5,47.8,51.5,18.4,15.2,26.4,74,31.8,34.8
"Louisiana",-8.6,-4.1,-12.7,46.2,51.9,15.6,18.3,22.3,68.7,28.9,41.2
"San Diego",-8.8,-4,-12.8,46.1,52.5,17.9,17.4,26.9,71.9,30.7,42.3
"Morgan St.",-4.5,-8.4,-12.9,47.8,52.9,17.1,16.3,28.8,65.7,33.2,35.1
"Florida A&M",-7.7,-5.4,-13,49.5,51.1,18.6,14.9,23.5,70.8,34.1,35.9
"Southern Ind.",-7.9,-5.2,-13.1,47.1,51.9,16.4,16.4,23.5,70.3,29.7,35
"Morehead St.",-9.2,-4,-13.2,45.8,50.7,16.4,14.8,25.7,76.6,35,33.5
"Air Force",-8.4,-5,-13.4,49.8,53,18.5,15.9,21.1,73.4,34.6,33.3
"Charleston So.",-7.6,-5.9,-13.4,48.4,51.9,18.8,14.1,27,76.2,40,30.3
"Green Bay",-5.5,-8,-13.5,49.8,53.4,17,15.2,16.4,72.2,35.3,33.7
"Oral Roberts",-4.6,-9,-13.6,48.7,52.9,16.2,15,20.6,69.6,32.9,35.4
"Western Ill.",-6.3,-7.3,-13.6,49.1,51.4,17,14.4,23.8,70.8,28.1,30.3
"Long Beach St.",-7.2,-6.5,-13.7,49.1,52.2,18.9,16.3,24.8,69.5,34.1,33.3
"Wagner",-12,-1.7,-13.7,44.1,50.8,17.6,16.6,28.2,76.4,28.7,37.5
"Stony Brook",-4.8,-9,-13.8,47.6,55.1,16.9,15.4,25.6,71.2,31.6,28.7
"Grambling",-11,-3,-13.9,46.9,51.1,17.8,17.1,21.7,70.8,32.3,31.5
"N.C. A&T",-8.5,-5.6,-14,45.7,50.8,15.8,15.3,23.7,71.2,31.3,29.2
"Southern Utah",-10.1,-4,-14.1,46.5,50.2,18.8,14.9,27.9,71.9,32.6,30.8
"Central Ark.",-8.3,-6,-14.3,47,54.8,17.7,16.3,24.3,73.2,29.6,25
"West Ga.",-8.3,-6.4,-14.7,46.5,54,16.2,16.7,23.9,73,29.5,34.4
"Alcorn",-10.1,-5.1,-15.2,46.1,52.6,17.8,17.4,29.4,69.4,30.2,29.9
"USC Upstate",-8.2,-7,-15.2,49,53.8,18.2,16.6,23.3,71.4,29.7,34
"Detroit Mercy",-10.6,-4.9,-15.4,44.8,50.3,18,15.3,28.3,72.3,29.6,36.4
"Tarleton St.",-14.5,-1,-15.5,46.2,51.6,20.9,20.5,25.7,71.5,37.5,42.4
"Sacramento St.",-10.3,-5.3,-15.6,46.9,53.3,19,16.7,26.6,75.4,29.7,36.4
"Western Caro.",-11.2,-4.7,-15.9,45.8,49.7,17.6,14.4,23.8,73.9,27.2,33.2
"ULM",-9.3,-7.7,-17,45.8,53.1,16.9,15.8,25.3,71.5,30.3,25.7
"Stetson",-7.9,-9.1,-17.1,48.2,52.2,17.7,14,21.6,69.5,31.6,28.8
"New Orleans",-9.3,-7.9,-17.2,46.2,53.2,17.3,15.8,27.4,69.6,32.4,27.4
"Buffalo",-10.7,-6.8,-17.5,47.4,53.3,18.9,16.2,23,71.5,32.2,30.7
"NIU",-12.2,-5.4,-17.7,46,52.4,16,16.2,15.2,72.4,30.5,39.8
"New Hampshire",-11.5,-6.3,-17.8,46.8,52.7,18,16.4,23.1,70,28,32.9
"NJIT",-12.2,-6.5,-18.8,45,49.9,17,14.3,25,70.6,27.5,36.4
"Prairie View",-9.1,-9.8,-18.9,47.3,55.7,15.8,18.4,20,64.3,32.2,36.9
"Canisius",-7.9,-11.3,-19.2,50.1,56,16.6,16,15.8,68.5,25.1,31.4
"Alabama A&M",-14,-5.3,-19.3,44.5,54.8,19.6,18.5,28.5,68.3,35,42.5
"The Citadel",-12.2,-7.9,-20.2,46.2,53.2,18.3,15.3,24.7,69.5,31.6,31.6
"UMES",-13.2,-9.1,-22.2,45.7,53.9,17.7,15.6,24,70,33.3,36.4
"Chicago St.",-16,-6.5,-22.5,44.6,53.3,17.4,17.2,20.4,70.2,26.4,34.9
"Cal St. Fullerton",-15.7,-6.8,-22.6,44.9,52.5,19.3,15.2,24.1,73.8,36.4,32.8
"Coppin St.",-18.3,-5.5,-23.7,43.8,54.3,19,18.8,21.7,68.6,34.7,34.2
"Ark.-Pine Bluff",-12.7,-11.6,-24.2,48.9,56.1,18.7,16.5,21.9,67.6,31.2,37.2
"Mississippi Val.",-25.9,-15.2,-41.1,42.6,56.4,20.8,15.3,19,64.9,29.8,35.3
